,Literal,Codi,Any,Evolucio atur
559,"Pobla de Montornès, la",431114,2013,-0.6000000000000227
560,"Pobla de Segur, la",251713,2013,17.0
561,Poboleda,431129,2013,-0.3000000000000007
562,Polinyà,081672,2013,-0.8000000000000682
563,"Pont d'Armentera, el",431135,2013,9.400000000000006
564,"Pont de Bar, el",250306,2013,0.0999999999999996
565,Pont de Molins,171352,2013,-0.7999999999999972
566,"Pont de Suert, el",251734,2013,1.7000000000000028
567,"Pont de Vilomara i Rocafort, el",081825,2013,-5.2000000000000455
568,Pontils,431418,2013,0.5
569,Pontons,081688,2013,1.9000000000000057
570,Pontós,171365,2013,-2.200000000000001
571,Ponts,251728,2013,11.800000000000011
572,Porqueres,171371,2013,-4.0
573,Porrera,431140,2013,1.8999999999999984
574,"Port de la Selva, el",171404,2013,-4.100000000000001
575,Portbou,171387,2013,4.700000000000003
576,"Portella, la",251749,2013,-7.399999999999999
577,Pradell de la Teixeta,431153,2013,0.5
578,Prades,431166,2013,1.5
579,Prat de Comte,431172,2013,1.299999999999999
580,"Prat de Llobregat, el",081691,2013,131.69999999999982
581,Pratdip,431188,2013,-8.099999999999994
582,Prats de Lluçanès,081712,2013,6.0
583,"Prats de Rei, els",081705,2013,6.800000000000001
584,Prats i Sansor,251752,2013,-2.700000000000001
585,Preixana,251765,2013,2.6999999999999997
586,Preixens,251771,2013,0.3000000000000007
587,Premià de Dalt,082303,2013,23.59999999999991
588,Premià de Mar,081727,2013,46.09999999999991
589,"Preses, les",171390,2013,2.1999999999999886
590,Prullans,251790,2013,0.6000000000000014
