Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
080919,Gelida,363,286,77,36,26,10,89,15,74,161,
170789,Ger,48,33,15,6,7,-1,4,1,3,17,
259123,Gimenells i el Pla de la Font,38,34,4,7,7,0,13,12,1,5,
430672,Ginestar,18,21,-3,1,3,-2,14,5,9,4,
170792,Girona,3772,4063,-291,796,835,-39,3120,1575,1545,1215,
080924,Gironella,168,136,32,11,14,-3,35,11,24,53,
080930,Gisclareny,0,1,-1,0,0,0,0,0,0,-1,
430688,Godall,11,25,-14,0,1,-1,3,2,1,-14,
250997,Golmés,47,65,-18,5,3,2,16,29,-13,-29,
170806,Gombrèn,12,7,5,0,1,-1,0,0,0,4,
251001,Gósol,18,22,-4,6,2,4,0,0,0,0,
080945,"Granada, la",124,102,22,8,8,0,18,13,5,27,
251018,"Granadella, la",16,22,-6,0,7,-7,15,11,4,-9,
080958,Granera,3,12,-9,0,0,0,0,0,0,-9,
251023,"Granja d'Escarp, la",16,20,-4,11,15,-4,31,27,4,-4,
080961,Granollers,2517,2516,1,380,369,11,1375,837,538,550,
251039,Granyanella,14,6,8,0,0,0,0,0,0,8,
251057,Granyena de les Garrigues,3,10,-7,0,1,-1,2,0,2,-6,
251044,Granyena de Segarra,4,4,0,0,0,0,1,0,1,1,
430691,Gratallops,8,7,1,1,0,1,3,6,-3,-1,
080977,Gualba,94,79,15,3,7,-4,17,4,13,24,
170813,Gualta,21,26,-5,2,2,0,35,33,2,-3,
080996,Guardiola de Berguedà,53,44,9,3,0,3,17,0,17,29,
430705,"Guiamets, els",12,10,2,0,1,-1,0,0,0,1,
170828,Guils de Cerdanya,37,24,13,0,1,-1,3,3,0,12,
251095,Guimerà,11,14,-3,1,1,0,4,0,4,1,
259031,"Guingueta d'Àneu, la",20,20,0,6,5,1,1,1,0,1,
251109,Guissona,138,241,-103,64,44,20,271,122,149,66,
251116,Guixers,0,1,-1,0,1,-1,0,0,0,-2,
081000,Gurb,106,93,13,2,5,-3,15,8,7,17,
430712,Horta de Sant Joan,19,20,-1,16,5,11,8,5,3,13,
081017,"Hospitalet de Llobregat, l'",10681,12241,-1560,2035,2142,-107,9692,3455,6237,4570,
081629,"Hostalets de Pierola, els",213,197,16,20,19,1,41,7,34,51,
170834,Hostalric,225,209,16,6,18,-12,69,12,57,61,
081022,Igualada,1457,1241,216,207,272,-65,676,296,380,531,
251155,Isona i Conca Dellà,46,45,1,8,8,0,18,14,4,5,
170849,Isòvol,19,16,3,0,1,-1,1,1,0,2,
251137,Ivars d'Urgell,45,49,-4,1,3,-2,20,30,-10,-16,
251121,Ivars de Noguera,12,17,-5,2,0,2,1,0,1,-2,
251142,Ivorra,3,1,2,0,0,0,1,2,-1,1,
170852,Jafre,10,15,-5,4,3,1,2,1,1,-3,
170865,"Jonquera, la",121,137,-16,55,33,22,162,136,26,32,
081038,Jorba,40,39,1,4,5,-1,4,5,-1,-1,
259101,Josa i Tuixén,2,12,-10,0,0,0,0,1,-1,-11,
170871,Juià,19,30,-11,1,0,1,11,3,8,-2,
251180,Juncosa,13,19,-6,1,2,-1,6,0,6,-1,
251193,Juneda,143,109,34,21,26,-5,120,48,72,101,
251214,Les,37,44,-7,14,19,-5,30,12,18,6,
251229,Linyola,90,80,10,26,5,21,18,11,7,38,
081043,"Llacuna, la",28,31,-3,2,4,-2,13,2,11,6,
170887,Lladó,41,19,22,3,0,3,7,5,2,27,
251235,Lladorre,13,11,2,1,0,1,2,0,2,5,
251240,Lladurs,3,6,-3,0,0,0,0,0,0,-3,
081056,"Llagosta, la",453,496,-43,75,57,18,234,79,155,130,
170890,Llagostera,349,273,76,48,40,8,137,86,51,135,
170904,Llambilles,34,29,5,0,2,-2,3,0,3,6,
