Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
170932,Llers,69,59,10,2,6,-4,15,16,-1,5
251272,Lles de Cerdanya,39,16,23,0,1,-1,0,0,0,22
081075,Lliçà d'Amunt,817,554,263,35,53,-18,48,45,3,248
081081,Lliçà de Vall,307,244,63,14,16,-2,26,9,17,78
251288,Llimiana,12,6,6,0,0,0,1,1,0,6
081069,Llinars del Vallès,527,416,111,43,43,0,70,54,16,127
170947,Llívia,165,75,90,7,13,-6,18,16,2,86
430727,"Lloar, el",11,2,9,0,0,0,0,0,0,9
251291,Llobera,4,4,0,0,0,0,0,0,0,0
430733,Llorac,5,3,2,0,0,0,0,0,0,2
430748,Llorenç del Penedès,93,89,4,9,5,4,12,10,2,10
170950,Lloret de Mar,1065,974,91,251,277,-26,1060,2042,-982,-917
170963,"Llosses, les",15,18,-3,0,0,0,2,1,1,-2
