Codi,Literal,1,2,3,4,5,6 i més,Total llars
431037,Perafort,39,66,47,41,16,9,218
171328,Peralada,122,127,101,101,33,19,503
251654,Peramola,29,26,21,21,11,12,120
431042,"Perelló, el",177,253,145,145,62,35,817
81614,Piera,587,1018,775,711,259,119,3469
431055,"Piles, les",22,8,10,18,5,4,67
81635,Pineda de Mar,1598,2073,1628,1562,480,262,7603
431068,"Pinell de Brai, el",46,91,69,78,41,23,348
251667,Pinell de Solsonès,10,10,10,12,5,14,61
251673,Pinós,17,15,12,20,10,14,88
431074,Pira,37,55,31,32,7,5,167
431080,"Pla de Santa Maria, el",119,148,112,157,33,18,587
81640,"Pla del Penedès, el",67,69,71,67,25,14,313
171334,"Planes d'Hostoles, les",93,174,148,116,45,23,599
171349,Planoles,38,34,23,17,4,2,118
