,Municipi,Codi,Any,Total,Homes,Dones,0-14 Anys,15-64 Anys,64 o més,Índex d'envelliment,Índex de sobreenvelliment,Saldo migratori total,Immigracions,Emigracions,Aturats,Poblacio activa,Renda,Demanda,Habitatges familiars secundaris,Habitatges familiars vacants,Habitatges familiars altres,Habitatges familiars principals,De lloguer,De propietat,Serveis,Solar,Zones verdes,Equipament,Connectivitat,Densitat comercial,Hab Lloguer
130,Cadaqués,170329,2000,2301.0,0.48544111255975664,0.5145588874402434,0.14471968709256844,0.6849196001738375,0.1703607127335941,,,,,,,,,,,,,,,,,,,,,,0.0
131,Calaf,80312,2000,3016.0,0.4973474801061008,0.5026525198938993,0.1276525198938992,0.6750663129973474,0.19728116710875332,,,,,,,,,,,,,,,,,,,,,,0.0
132,Calafell,430379,2000,12219.0,0.504132907766593,0.49586709223340697,0.13659055569195516,0.7157705213192569,0.14763892298878795,,,,,,,,,,,,,,,,,,,,,,0.0
133,Calders,80348,2000,763.0,0.5176933158584535,0.48230668414154654,0.17693315858453473,0.6408912188728703,0.182175622542595,,,,,,,,,,,,,,,,,,,,,,0.0
134,Caldes d'Estrac,80327,2000,1973.0,0.48200709579320833,0.5179929042067917,0.12164216928535225,0.6659908768373036,0.21236695387734414,,,,,,,,,,,,,,,,,,,,,,0.0
135,Caldes de Malavella,170335,2000,4031.0,0.505581741503349,0.49441825849665094,0.132473331679484,0.6794839990076904,0.1880426693128256,,,,,,,,,,,,,,,,,,,,,,0.0
136,Caldes de Montbui,80333,2000,12464.0,0.4933408215661104,0.5066591784338896,0.12756739409499357,0.7018613607188704,0.17057124518613606,,,,,,,,,,,,,,,,,,,,,,0.0
137,Calella,80351,2000,13055.0,0.4840291076216009,0.5159708923783991,0.14086556874760628,0.6791267713519724,0.1800076599004213,,,,,,,,,,,,,,,,,,,,,,0.0
138,Calldetenes,80370,2000,2006.0,0.5164506480558325,0.4835493519441675,0.15653040877367896,0.7008973080757727,0.14257228315054835,,,,,,,,,,,,,,,,,,,,,,0.0
139,Callús,80386,2000,1329.0,0.49736644093303234,0.5026335590669676,0.1181339352896915,0.6433408577878104,0.23852520692249812,,,,,,,,,,,,,,,,,,,,,,0.0
140,Calonge,80364,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
141,Calonge de Segarra,170340,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
142,Camarasa,250621,2000,885.0,0.5073446327683616,0.49265536723163844,0.08248587570621468,0.5807909604519774,0.3367231638418079,,,,,,,,,,,,,,,,,,,,,,0.0
